block,wplot,krate_kgha,splot,nrate_kgha,trtname
1,101,0,101-1,200,0+200
1,101,0,101-2,0,0+0
1,101,0,101-3,100,0+100
1,102,30,102-1,200,30+200
1,102,30,102-2,0,30+0
1,102,30,102-3,100,30+100
1,103,60,103-1,200,60+200
1,103,60,103-2,100,60+100
1,103,60,103-3,0,60+0
2,201,30,201-1,0,30+0
2,201,30,201-2,100,30+100
2,201,30,201-3,200,30+200
2,202,0,202-1,200,0+200
2,202,0,202-2,0,0+0
2,202,0,202-3,100,0+100
2,203,60,203-1,100,60+100
2,203,60,203-2,0,60+0
2,203,60,203-3,200,60+200
3,301,0,301-1,200,0+200
3,301,0,301-2,100,0+100
3,301,0,301-3,0,0+0
3,302,30,302-1,0,30+0
3,302,30,302-2,100,30+100
3,302,30,302-3,200,30+200
3,303,60,303-1,200,60+200
3,303,60,303-2,100,60+100
3,303,60,303-3,0,60+0
4,401,0,401-1,0,0+0
4,401,0,401-2,100,0+100
4,401,0,401-3,200,0+200
4,402,30,402-1,100,30+100
4,402,30,402-2,200,30+200
4,402,30,402-3,0,30+0
4,403,60,403-1,200,60+200
4,403,60,403-2,100,60+100
4,403,60,403-3,0,60+0
